PCAP Date,LP Short Name,Field Num,Field, Amount 
3/31/2024,Gabbana,8,Realized Gain / (Loss),0
3/31/2024,Gabbana,9,Unrealized Gain / (Loss),0
3/31/2024,Gabbana,10,Investment Expenses,-1705
3/31/2024,Gabbana,11,Management Fees,-478
3/31/2024,Gabbana,13,Realized Carried Interest,0
3/31/2024,Gabbana,14,Unrealized Carried Interest,-409
3/31/2024,Gabbana,15,Fund Expenses,-116
3/31/2024,Gabbana,16,Ending Capital Balance,166637
3/31/2024,Peter Piper,1,Beginning Capital Balance,0
3/31/2024,Peter Piper,2,Capital Calls,"330,000"
3/31/2024,Peter Piper,5,Distributions (Principal),0
3/31/2024,Peter Piper,6,Distributions (Income),0
3/31/2024,Peter Piper,7,Interest Income,"8,688"
3/31/2024,Peter Piper,8,Realized Gain / (Loss),0
3/31/2024,Peter Piper,9,Unrealized Gain / (Loss),0
3/31/2024,Peter Piper,10,Investment Expenses,-3409
3/31/2024,Peter Piper,11,Management Fees,-956
3/31/2024,Peter Piper,13,Realized Carried Interest,0
3/31/2024,Peter Piper,14,Unrealized Carried Interest,-818
3/31/2024,Peter Piper,15,Fund Expenses,-231
3/31/2024,Peter Piper,16,Ending Capital Balance,333273
6/30/2024,Red Rose,1,Beginning Capital Balance,"166,637"
6/30/2024,Red Rose,2,Capital Calls,"60,000"
6/30/2024,Red Rose,5,Distributions (Principal),0
6/30/2024,Red Rose,6,Distributions (Income),"-1,238"
6/30/2024,Red Rose,7,Interest Income,"7,728"
6/30/2024,Red Rose,8,Realized Gain / (Loss),0
6/30/2024,Red Rose,9,Unrealized Gain / (Loss),0
6/30/2024,Red Rose,10,Investment Expenses,-257
6/30/2024,Red Rose,11,Management Fees,-654
6/30/2024,Red Rose,13,Realized Carried Interest,-310
6/30/2024,Red Rose,14,Unrealized Carried Interest,-896
6/30/2024,Red Rose,15,Fund Expenses,-291
6/30/2024,Red Rose,16,Ending Capital Balance,230719
6/30/2024,Berry Blues,1,Beginning Capital Balance,"333,273"
6/30/2024,Berry Blues,2,Capital Calls,"120,000"
6/30/2024,Berry Blues,5,Distributions (Principal),0
6/30/2024,Berry Blues,6,Distributions (Income),"-2,476"
6/30/2024,Berry Blues,7,Interest Income,"15,456"
6/30/2024,Berry Blues,8,Realized Gain / (Loss),0
6/30/2024,Berry Blues,9,Unrealized Gain / (Loss),0
6/30/2024,Berry Blues,10,Investment Expenses,-514
6/30/2024,Berry Blues,11,Management Fees,-1308
6/30/2024,Berry Blues,13,Realized Carried Interest,-619
6/30/2024,Berry Blues,14,Unrealized Carried Interest,"-1,792"
6/30/2024,Berry Blues,15,Fund Expenses,-582
6/30/2024,Berry Blues,16,Ending Capital Balance,"461,438"
6/30/2024,Dolce,1,Beginning Capital Balance,"3,108,463"
6/30/2024,Dolce,2,Capital Calls,0
6/30/2024,Dolce,5,Distributions (Principal),"-16,094"
6/30/2024,Dolce,6,Distributions (Income),"-81,826"
6/30/2024,Dolce,7,Interest Income,"119,261"
6/30/2024,Dolce,8,Realized Gain / (Loss),-422
6/30/2024,Dolce,9,Unrealized Gain / (Loss),0
6/30/2024,Dolce,10,Investment Expenses,-579
6/30/2024,Dolce,11,Management Fees,-14866
6/30/2024,Dolce,13,Realized Carried Interest,-20457
6/30/2024,Dolce,14,Unrealized Carried Interest,"3,410"
6/30/2024,Dolce,15,Fund Expenses,-1538
6/30/2024,Dolce,16,Ending Capital Balance,3095352
6/30/2024,Indiana,1,Beginning Capital Balance,"268,978,397"
6/30/2024,Indiana,2,Capital Calls,0
6/30/2024,Indiana,5,Distributions (Principal),-15123934
6/30/2024,Indiana,6,Distributions (Income),-7226866
6/30/2024,Indiana,7,Interest Income,9404211
6/30/2024,Indiana,8,Realized Gain / (Loss),"-21,083"
6/30/2024,Indiana,9,Unrealized Gain / (Loss),0
6/30/2024,Indiana,10,Investment Expenses,"-45,979"
6/30/2024,Indiana,11,Management Fees,-932497
6/30/2024,Indiana,13,Realized Carried Interest,-1275329
6/30/2024,Indiana,14,Unrealized Carried Interest,"233,435"
6/30/2024,Indiana,15,Fund Expenses,-144706
6/30/2024,Indiana,16,Ending Capital Balance,253845647
6/30/2024,Breeze,1,Beginning Capital Balance,"106,725,519"
6/30/2024,Breeze,2,Capital Calls,0
6/30/2024,Breeze,5,Distributions (Principal),-644020
6/30/2024,Breeze,6,Distributions (Income),-2891715
6/30/2024,Breeze,7,Interest Income,3755841
6/30/2024,Breeze,8,Realized Gain / (Loss),0
6/30/2024,Breeze,9,Unrealized Gain / (Loss),0
6/30/2024,Breeze,10,Investment Expenses,"-33,004"
6/30/2024,Breeze,11,Management Fees,-382105
6/30/2024,Breeze,13,Realized Carried Interest,"-510,303"
6/30/2024,Breeze,14,Unrealized Carried Interest,"105,473"
6/30/2024,Breeze,15,Fund Expenses,-57230
6/30/2024,Breeze,16,Ending Capital Balance,106068458
